Subject,Condition,Time,FAA
VPEEG_SB_41_20230126_1616_csd,FrTT,-1000 to 0,-0.043994173
VPEEG_SB_41_20230126_1616_csd,FrTT,0 to 1000,-0.036266284
VPEEG_SB_41_20230126_1616_csd,EnTT,-1000 to 0,-0.03088433
VPEEG_SB_41_20230126_1616_csd,EnTT,0 to 1000,-0.02482534
VPEEG_SB_44_20230207_1014_csd,FrTT,-1000 to 0,-0.000601169
VPEEG_SB_44_20230207_1014_csd,FrTT,0 to 1000,-0.011397608
VPEEG_SB_44_20230207_1014_csd,EnTT,-1000 to 0,0.008629545
VPEEG_SB_44_20230207_1014_csd,EnTT,0 to 1000,-0.013399114
VPEEG_SB_45_20230223_1107_csd,FrTT,-1000 to 0,0.007356878
VPEEG_SB_45_20230223_1107_csd,FrTT,0 to 1000,0.005595969
VPEEG_SB_45_20230223_1107_csd,EnTT,-1000 to 0,0.018312232
VPEEG_SB_45_20230223_1107_csd,EnTT,0 to 1000,0.015594565
VPEEG_SB_46_20230225_1027_csd,FrTT,-1000 to 0,0.008055811
VPEEG_SB_46_20230225_1027_csd,FrTT,0 to 1000,0.024756844
VPEEG_SB_46_20230225_1027_csd,EnTT,-1000 to 0,-0.00534274
VPEEG_SB_46_20230225_1027_csd,EnTT,0 to 1000,0.032000466
VPEEG_SB_47_20230227_0922_csd,FrTT,-1000 to 0,0.038001349
VPEEG_SB_47_20230227_0922_csd,FrTT,0 to 1000,0.047108972
VPEEG_SB_47_20230227_0922_csd,EnTT,-1000 to 0,0.025048363
VPEEG_SB_47_20230227_0922_csd,EnTT,0 to 1000,0.063365113
VPEEG_SB_48_20230228_1004_csd,FrTT,-1000 to 0,0.09506845
VPEEG_SB_48_20230228_1004_csd,FrTT,0 to 1000,0.096510459
VPEEG_SB_48_20230228_1004_csd,EnTT,-1000 to 0,0.086979735
VPEEG_SB_48_20230228_1004_csd,EnTT,0 to 1000,0.098691068
VPEEG_SB_51_20230308_0924_csd,FrTT,-1000 to 0,0.014499348
VPEEG_SB_51_20230308_0924_csd,FrTT,0 to 1000,0.007756971
VPEEG_SB_51_20230308_0924_csd,EnTT,-1000 to 0,0.003758865
VPEEG_SB_51_20230308_0924_csd,EnTT,0 to 1000,-0.014273846
VPEEG_SB_52_20230311_0914_csd,FrTT,-1000 to 0,0.048208018
VPEEG_SB_52_20230311_0914_csd,FrTT,0 to 1000,0.040766073
VPEEG_SB_52_20230311_0914_csd,EnTT,-1000 to 0,0.069148418
VPEEG_SB_52_20230311_0914_csd,EnTT,0 to 1000,0.048303522
VPEEG_SB_53_20230405_0910_csd,FrTT,-1000 to 0,0.034109879
VPEEG_SB_53_20230405_0910_csd,FrTT,0 to 1000,0.013340406
VPEEG_SB_53_20230405_0910_csd,EnTT,-1000 to 0,0.016882566
VPEEG_SB_53_20230405_0910_csd,EnTT,0 to 1000,0.013768065
VPEEG_SB_54_20230417_1120_csd,FrTT,-1000 to 0,0.004241146
VPEEG_SB_54_20230417_1120_csd,FrTT,0 to 1000,-0.001572335
VPEEG_SB_54_20230417_1120_csd,EnTT,-1000 to 0,-0.006765154
VPEEG_SB_54_20230417_1120_csd,EnTT,0 to 1000,-0.005220264
VPEEG_SB_55_20230422_1147_csd,FrTT,-1000 to 0,0.001950261
VPEEG_SB_55_20230422_1147_csd,FrTT,0 to 1000,-0.011045485
VPEEG_SB_55_20230422_1147_csd,EnTT,-1000 to 0,-0.002280404
VPEEG_SB_55_20230422_1147_csd,EnTT,0 to 1000,-0.004638527
VPEEG_SB_56_20230503_1105_csd,FrTT,-1000 to 0,0.014329252
VPEEG_SB_56_20230503_1105_csd,FrTT,0 to 1000,0.015679601
VPEEG_SB_56_20230503_1105_csd,EnTT,-1000 to 0,0.021578001
VPEEG_SB_56_20230503_1105_csd,EnTT,0 to 1000,0.021634466
VPEEG_SB_57_230505_1052_csd,FrTT,-1000 to 0,0.041134266
VPEEG_SB_57_230505_1052_csd,FrTT,0 to 1000,0.042066649
VPEEG_SB_57_230505_1052_csd,EnTT,-1000 to 0,0.031475182
VPEEG_SB_57_230505_1052_csd,EnTT,0 to 1000,0.044215254
VPEEG_SB_58_230505_1052_csd,FrTT,-1000 to 0,0.045822751
VPEEG_SB_58_230505_1052_csd,FrTT,0 to 1000,0.04644975
VPEEG_SB_58_230505_1052_csd,EnTT,-1000 to 0,0.028534775
VPEEG_SB_58_230505_1052_csd,EnTT,0 to 1000,0.039358941
VPEEG_SB_61_20230513_1028_csd,FrTT,-1000 to 0,-0.026557437
VPEEG_SB_61_20230513_1028_csd,FrTT,0 to 1000,-0.025137789
VPEEG_SB_61_20230513_1028_csd,EnTT,-1000 to 0,-0.019867646
VPEEG_SB_61_20230513_1028_csd,EnTT,0 to 1000,-0.023361618
VPEEG_SB_62_20230513_1124_csd,FrTT,-1000 to 0,0.008506844
VPEEG_SB_62_20230513_1124_csd,FrTT,0 to 1000,-0.022509521
VPEEG_SB_62_20230513_1124_csd,EnTT,-1000 to 0,-0.003771183
VPEEG_SB_62_20230513_1124_csd,EnTT,0 to 1000,-0.011392736
VPEEG_SB_63_20230527_1245_csd,FrTT,-1000 to 0,-0.0220546
VPEEG_SB_63_20230527_1245_csd,FrTT,0 to 1000,-0.010257635
VPEEG_SB_63_20230527_1245_csd,EnTT,-1000 to 0,-0.014939051
VPEEG_SB_63_20230527_1245_csd,EnTT,0 to 1000,-0.012225478
VPEEG_SB_65_20230819_1107_csd,FrTT,-1000 to 0,0.014112757
VPEEG_SB_65_20230819_1107_csd,FrTT,0 to 1000,0.017351559
VPEEG_SB_65_20230819_1107_csd,EnTT,-1000 to 0,0.013821458
VPEEG_SB_65_20230819_1107_csd,EnTT,0 to 1000,0.00096006
VPEEG_SB_66_20230923_0901_csd,FrTT,-1000 to 0,-0.031581026
VPEEG_SB_66_20230923_0901_csd,FrTT,0 to 1000,-0.008427253
VPEEG_SB_66_20230923_0901_csd,EnTT,-1000 to 0,0.025483161
VPEEG_SB_66_20230923_0901_csd,EnTT,0 to 1000,0.02692299
VPEEG_SB_67_20230923_1333_csd,FrTT,-1000 to 0,0.040906826
VPEEG_SB_67_20230923_1333_csd,FrTT,0 to 1000,0.03840043
VPEEG_SB_67_20230923_1333_csd,EnTT,-1000 to 0,0.029048044
VPEEG_SB_67_20230923_1333_csd,EnTT,0 to 1000,0.046022605
VPEEG_SB_69_20231004_0851_csd,FrTT,-1000 to 0,-0.000690872
VPEEG_SB_69_20231004_0851_csd,FrTT,0 to 1000,0.008967931
VPEEG_SB_69_20231004_0851_csd,EnTT,-1000 to 0,-0.010991835
VPEEG_SB_69_20231004_0851_csd,EnTT,0 to 1000,0.002116634
VPEEG_SB_71_20231109_1330_csd,FrTT,-1000 to 0,0.058976056
VPEEG_SB_71_20231109_1330_csd,FrTT,0 to 1000,0.039436222
VPEEG_SB_71_20231109_1330_csd,EnTT,-1000 to 0,0.033257448
VPEEG_SB_71_20231109_1330_csd,EnTT,0 to 1000,0.066384143
VPEEG_SB_72_20231114_1150_csd,FrTT,-1000 to 0,0.01260083
VPEEG_SB_72_20231114_1150_csd,FrTT,0 to 1000,0.008654339
VPEEG_SB_72_20231114_1150_csd,EnTT,-1000 to 0,0.013895168
VPEEG_SB_72_20231114_1150_csd,EnTT,0 to 1000,-0.000164986
VPEEG_SB_73_20231118_1017_csd,FrTT,-1000 to 0,-0.024092737
VPEEG_SB_73_20231118_1017_csd,FrTT,0 to 1000,-0.01852922
VPEEG_SB_73_20231118_1017_csd,EnTT,-1000 to 0,-0.023205341
VPEEG_SB_73_20231118_1017_csd,EnTT,0 to 1000,-0.014747388
VPEEG_SB_74_20231205_1425_csd,FrTT,-1000 to 0,0.032006016
VPEEG_SB_74_20231205_1425_csd,FrTT,0 to 1000,0.027216286
VPEEG_SB_74_20231205_1425_csd,EnTT,-1000 to 0,0.013327757
VPEEG_SB_74_20231205_1425_csd,EnTT,0 to 1000,0.012966003
VPEEG_SB_75_20240227_1153_csd,FrTT,-1000 to 0,0.011042212
VPEEG_SB_75_20240227_1153_csd,FrTT,0 to 1000,0.000935057
VPEEG_SB_75_20240227_1153_csd,EnTT,-1000 to 0,0.055918417
VPEEG_SB_75_20240227_1153_csd,EnTT,0 to 1000,0.039995143
VPEEG_SB_76_20240227_1237_csd,FrTT,-1000 to 0,0.016197021
VPEEG_SB_76_20240227_1237_csd,FrTT,0 to 1000,0.027486204
VPEEG_SB_76_20240227_1237_csd,EnTT,-1000 to 0,0.017776034
VPEEG_SB_76_20240227_1237_csd,EnTT,0 to 1000,0.023528962
VPEEG_SB_77_20240306_1050_csd,FrTT,-1000 to 0,0.011000778
VPEEG_SB_77_20240306_1050_csd,FrTT,0 to 1000,0.005239462
VPEEG_SB_77_20240306_1050_csd,EnTT,-1000 to 0,0.008968883
VPEEG_SB_77_20240306_1050_csd,EnTT,0 to 1000,0.01666634
VPEEG_SB_79_20240328_1201_csd,FrTT,-1000 to 0,-0.045863569
VPEEG_SB_79_20240328_1201_csd,FrTT,0 to 1000,-0.025873818
VPEEG_SB_79_20240328_1201_csd,EnTT,-1000 to 0,-0.030006153
VPEEG_SB_79_20240328_1201_csd,EnTT,0 to 1000,-0.063424774
VPEEG_SB_80_20240401_1010_csd,FrTT,-1000 to 0,-0.009044112
VPEEG_SB_80_20240401_1010_csd,FrTT,0 to 1000,-0.008271906
VPEEG_SB_80_20240401_1010_csd,EnTT,-1000 to 0,0.00180142
VPEEG_SB_80_20240401_1010_csd,EnTT,0 to 1000,0.004202509
VPEEG_SB_81_20240403_1127_csd,FrTT,-1000 to 0,-0.027026142
VPEEG_SB_81_20240403_1127_csd,FrTT,0 to 1000,0.002826438
VPEEG_SB_81_20240403_1127_csd,EnTT,-1000 to 0,-0.008592279
VPEEG_SB_81_20240403_1127_csd,EnTT,0 to 1000,-0.009956849
VPEEG_SB_82_20240406_1016_csd,FrTT,-1000 to 0,-0.046397423
VPEEG_SB_82_20240406_1016_csd,FrTT,0 to 1000,-0.048431702
VPEEG_SB_82_20240406_1016_csd,EnTT,-1000 to 0,-0.046191263
VPEEG_SB_82_20240406_1016_csd,EnTT,0 to 1000,-0.049728729
VPEEG_SB_83_20240408_1013_csd,FrTT,-1000 to 0,0.015242955
VPEEG_SB_83_20240408_1013_csd,FrTT,0 to 1000,0.012424765
VPEEG_SB_83_20240408_1013_csd,EnTT,-1000 to 0,0.008440843
VPEEG_SB_83_20240408_1013_csd,EnTT,0 to 1000,-0.000779524
VPEEG_SB_84_20240413_1510_csd,FrTT,-1000 to 0,0.034645765
VPEEG_SB_84_20240413_1510_csd,FrTT,0 to 1000,0.010030628
VPEEG_SB_84_20240413_1510_csd,EnTT,-1000 to 0,0.020561399
VPEEG_SB_84_20240413_1510_csd,EnTT,0 to 1000,0.022775943
VPEEG_SB_85_20240421_1324_csd,FrTT,-1000 to 0,0.017885489
VPEEG_SB_85_20240421_1324_csd,FrTT,0 to 1000,0.005202055
VPEEG_SB_85_20240421_1324_csd,EnTT,-1000 to 0,0.000235845
VPEEG_SB_85_20240421_1324_csd,EnTT,0 to 1000,-0.013829114
